Timestamp,Throttle,PWM
0.09,5.52,30
0.184,5.53,30
0.282,5.49,30
0.382,5.51,30
0.48,5.5,30
0.58,5.49,30
0.678,5.49,30
0.777,5.52,30
0.876,5.5,30
0.975,5.49,30
1.075,5.51,30
1.174,5.49,30
1.273,5.5,30
1.372,5.52,30
1.471,5.53,30
1.57,5.54,30
1.669,5.52,30
1.768,5.51,30
1.867,5.5,30
1.967,5.49,30
2.066,5.5,30
2.166,5.52,30
2.264,5.52,30
2.364,5.5,30
2.462,5.5,30
2.561,5.49,30
2.66,5.5,30
2.759,5.51,30
2.859,5.53,30
2.958,5.52,30
3.058,5.52,30
3.156,5.52,30
3.256,5.52,30
3.354,5.5,30
3.453,5.5,30
3.552,5.51,30
3.652,5.51,30
3.752,5.52,30
3.85,5.5,30
3.949,5.51,30
4.049,5.52,30
4.148,5.51,30
4.246,5.5,30
4.345,5.51,30
4.444,5.52,30
4.544,5.49,30
4.643,5.49,30
4.742,5.52,30
4.841,5.53,30
4.94,5.52,30
5.039,5.5,30
5.139,5.51,30
5.237,5.51,30
5.337,5.51,30
5.436,5.5,30
5.535,5.49,30
